id,text,timestamp,replyCount,retweetCount,likeCount,quoteCount,viewCount
1567048960254119938,,,,,,,None
1566581965310099458,,,,,,,None
1566548841134018564,,,,,,,None
1566517077254590469,,,,,,,None
1565847156262682625,,,,,,,None
1565800749359108107,,,,,,,None
1565795477752369152,,,,,,,None
1565754589672099841,,,,,,,None
1565646023581638656,,,,,,,None
1565414432691421184,,,,,,,None
1565391775040249858,,,,,,,None
1565388716411068416,,,,,,,None
1565248995135574017,,,,,,,None
1565041076196589568,,,,,,,None
1564954327113932800,,,,,,,None
1564767573366956032,,,,,,,None
1564753827571572739,,,,,,,None
1564732831498223617,,,,,,,None
1564687942559350796,,,,,,,None
1564654408624914432,,,,,,,None
1564631659038793732,,,,,,,None
1564631076865196040,,,,,,,None
1564602892069240832,,,,,,,None
1564569909354545152,,,,,,,None
1564565902506528768,,,,,,,None
1564547339779510272,,,,,,,None
1564546865961570304,,,,,,,None
1564369281223217161,,,,,,,None
1564342036093861904,,,,,,,None
1564265127565746177,,,,,,,None
1564236535125475328,,,,,,,None
1564201402481737730,,,,,,,None
1564158203704778752,,,,,,,None
1563979109415456770,,,,,,,None
1563928683085283331,,,,,,,None
1563768209089650689,,,,,,,None
1563585907848269825,,,,,,,None
1563289613456019457,,,,,,,None
1563166956366151680,,,,,,,None
1562401712291598336,,,,,,,None
1562360563984134146,,,,,,,None
1562182526650781697,,,,,,,None
1561968876878954499,,,,,,,None
1561751703992647681,,,,,,,None
1561680387461505026,,,,,,,None
1561672925559881731,,,,,,,None
1561644215028916224,,,,,,,None
1561629923613331456,,,,,,,None
1561618279214497795,,,,,,,None
1561432676619501570,,,,,,,None
1561365545387188224,,,,,,,None
1561261325728227328,,,,,,,None
1561119866609979392,,,,,,,None
1561085297206640641,,,,,,,None
1561081394197045249,,,,,,,None
1560724840218329090,,,,,,,None
1560625041544400897,,,,,,,None
1560271432982368257,,,,,,,None
1559990057402093569,,,,,,,None
1559530540134539265,,,,,,,None
1559470412173541377,,,,,,,None
1559194046215618567,,,,,,,None
1559191267883585537,,,,,,,None
1559141554287263745,,,,,,,None
1558853905492197379,,,,,,,None
1558823083703689220,,,,,,,None
